config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,22,30,34,36,40,9,13,14,15,17,606214,5814070,88307031,31,4415,0.00
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,2114746,2124912,2127490,2164088,2242436,921859,926291,927414,943368,977522,42507717214,0,18652263145,993,932613,0.00
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,388340,450350,505794,1766930,60576972,169285,196316,220485,770239,26406700,10095255630,0,4891482608,899,244574,0.28
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,22,26,28,30,42,9,11,12,13,18,525176,20295308,264286646,34,13214,0.34
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,2119650,2128800,2131790,2160772,2428780,923997,927986,929289,941923,1058753,42590086380,0,18777950052,988,938897,0.34
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,374130,413572,464948,1727380,58685572,163090,180284,202680,752999,25582202,9334548806,0,4881640037,833,244082,0.53
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,32,20000,2000,1,1000,1000000,2294,22,26,28,30,3524,9,11,12,13,1536,530718,72673728,974837192,32,48741,0.57
file-dax,file,"/mnt/pmem0.0/sean",ext4,32,20000,2000,1,1000,0,2294,2118564,2126992,2129372,2163428,2410782,923523,927197,928235,943081,1050907,42553947612,0,19133348951,969,956667,0.57
file-block,file,"/home/users/u7599095",ext4,32,20000,2000,1,1000,0,2294,329228,387778,448656,1570252,57023970,143517,169040,195578,684503,24857877,8749047246,0,5593307898,681,279665,0.72
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,56,20000,2000,1,1000,1720000,2294,22,26,28,30,66,9,11,12,13,28,519592,124768074,1657189038,32,82859,0.74
file-dax,file,"/mnt/pmem0.0/sean",ext4,56,20000,2000,1,1000,0,2294,2113508,2122712,2125262,2160722,2617130,921319,925332,926443,941901,1140858,42469555968,0,19431605836,952,971580,0.74
file-block,file,"/home/users/u7599095",ext4,56,20000,2000,1,1000,0,2294,319360,378188,451384,1454248,56845290,139215,164859,196767,633935,24779986,8594141808,0,6163518766,607,308175,0.83
