config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1,block_size
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,22,30,34,36,118,9,13,14,15,51,608780,5816890,89647745,31,4482,0.00,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,10868,11618,12222,12914,49490,4737,5064,5327,5629,21573,235056048,0,249968350,409,12498,0.00,2048
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,346382,386532,430122,1704394,2012550,150994,168496,187498,742979,877310,8578863430,0,4226660994,884,211333,0.00,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,24,26,28,30,34,10,11,12,13,14,522650,20264740,266730909,33,13336,0.08,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,10524,11558,11906,12588,79294,4587,5038,5190,5487,34565,230556646,0,341331011,294,17066,0.08,2048
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,331582,363136,415988,1631912,57166084,144543,158298,181337,711382,24919827,8283591344,0,4420339486,816,221016,0.08,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,22,26,28,30,42,9,11,12,13,18,526812,55000754,744745475,32,37237,0.15,2048
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,10168,11548,11942,12798,87764,4432,5034,5205,5578,38258,232100218,0,576433676,175,28821,0.15,2048
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,297336,359836,406618,1588546,22020764,129614,156859,177252,692478,9599286,8032881672,0,5010154573,698,250507,0.14,2048
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,22,30,34,36,50,9,13,14,15,21,607100,5788528,88193297,31,4409,0.21,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,2114238,2123706,2126872,2162626,2241198,921638,925765,927145,942731,976982,42489339838,0,18646395475,993,932319,0.21,4096
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,391958,451018,504394,1768702,57188950,170862,196607,219875,771012,24929795,10074561946,0,4882801072,899,244140,0.43,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,22,26,28,30,46,9,11,12,13,20,523170,20287734,262168160,34,13108,0.48,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,2121402,2130344,2133090,2170282,3546868,924761,928659,929856,946068,1546149,42636064414,0,18799768860,988,939988,0.48,4096
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,374058,413268,466342,1733570,125933506,163059,180151,203287,755697,54896907,9411771468,0,4918312186,834,245915,0.63,4096
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,22,26,28,30,48,9,11,12,13,20,527414,55021864,746208268,32,37310,0.66,4096
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,2112942,2122746,2125524,2162014,2323030,921073,925346,926557,942464,1012654,42469962726,0,18966881040,976,948344,0.69,4096
