config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1,block_size,region_blocks
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,24,30,32,38,52,10,13,13,16,22,587288,5757570,91003790,30,4550,0.00,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,11070,11674,12018,13094,52744,4825,5088,5238,5707,22992,235961704,0,251490596,409,12574,0.00,2048,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,352728,386492,432546,1716038,2081806,153761,168479,188555,748054,907500,8599279808,0,4242627225,883,212131,0.00,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,24,28,30,32,36,10,12,13,13,15,552314,20303036,274799563,33,13739,0.08,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,10408,11496,11816,12586,91054,4537,5011,5150,5486,39692,228843566,0,344621980,289,17231,0.08,2048,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,326494,362288,413498,1640754,3158368,142325,157928,180251,715237,1376795,8153636974,0,4379016116,811,218950,0.08,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,24,28,30,32,35986,10,12,13,13,15687,596338,54910374,763784159,31,38189,0.15,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,10108,11416,11822,12756,88614,4406,4976,5153,5560,38628,229344426,0,588804813,169,29440,0.15,2048,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,300076,359794,408158,1586996,57009746,130809,156841,177924,691802,24851676,8135549574,0,5091353865,696,254567,0.15,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,22,30,32,34,58,9,13,13,14,25,585356,5737828,91898919,29,4594,0.28,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,11010,11920,12312,13012,46834,4799,5196,5367,5672,20415,239753276,0,253591025,412,12679,0.28,4096,256
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,348762,390144,433772,1627714,3668212,152032,170071,189089,709552,1599046,8643327698,0,4261198903,884,213059,0.28,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,24,28,30,32,58,10,12,13,13,25,552096,20274794,270274692,33,13513,0.34,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,10578,11486,11730,12454,76068,4611,5006,5113,5428,33159,230812666,0,339475572,296,16973,0.34,4096,256
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,331654,365474,416642,1623232,103129262,144574,159317,181622,707598,44956086,8351912866,0,4465043755,815,223252,0.34,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,24,28,30,32,3418,10,12,13,13,1489,562958,55033230,763680706,31,38184,0.39,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,9726,11370,11768,12550,80828,4239,4956,5129,5470,35234,227364016,0,587079878,168,29353,0.39,4096,256
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,296264,362092,411510,1550344,58155956,129147,157843,179385,675825,25351332,8157746384,0,5095429575,697,254771,0.39,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,24,30,32,36,56,10,13,13,15,24,586114,5815236,90373825,30,4518,0.44,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,2120116,2128076,2130452,2169946,2262230,924200,927670,928706,945922,986150,42582667602,0,18686455438,993,934322,0.44,4096,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,263064,304806,335318,1462956,1878692,114674,132870,146171,637731,818959,6723320332,0,3413515211,858,170675,0.63,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,24,28,30,32,3352,10,12,13,13,1461,555852,20255846,267475148,33,13373,0.63,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,2120246,2129176,2131916,2168516,2276214,924257,928149,929344,945299,992246,42600613678,0,18788591164,988,939429,0.63,4096,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,245160,303898,332884,1475658,60260100,106870,132475,145110,643268,26268570,6794519504,0,3768502947,785,188425,0.76,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,24,28,30,32,3328,10,12,13,13,1450,561912,54916968,763852739,31,38192,0.76,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,2115330,2125470,2128668,2165122,2247244,922114,926534,927928,943819,979618,42524387960,0,19001919223,975,950095,0.70,4096,512
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,238934,305238,341450,1391528,1748072,104156,133059,148844,606594,762019,6754623818,0,4540375582,648,227018,0.79,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,80000,2294,22,30,32,34,40,9,13,13,14,17,584598,5717528,91751963,29,4587,0.80,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,2,1000,0,2294,10954,11706,12062,13002,48940,4775,5102,5258,5667,21333,235828008,0,252269560,407,12613,0.80,2048,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,2,1000,0,2294,346830,385844,429806,1711558,3615600,151190,168197,187360,746102,1576111,8571565222,0,4229746856,883,211487,0.80,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,280000,2294,24,28,30,32,3540,10,12,13,13,1543,555478,20212142,275234039,32,13761,0.82,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,2,1000,0,2294,10320,11346,11918,12588,80728,4498,4945,5195,5487,35190,228426940,0,346513115,287,17325,0.82,2048,512
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,2,1000,0,2294,326502,362232,413096,1630068,90848448,142328,157904,180076,710578,39602636,8275757314,0,4431038539,814,221551,0.82,2048,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,760000,2294,24,28,30,32,3440,10,12,13,13,1499,560878,54954160,758872739,31,37943,0.83,2048,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,2,1000,0,2294,9848,11542,11996,12958,84060,4292,5031,5229,5648,36643,232105206,0,589682885,171,29484,0.83,2048,512
