config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1,block_size,region_blocks
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,24,30,32,34,40,10,13,13,14,17,583818,5726718,97290134,28,4864,0.39,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,12450,13942,14784,16640,121090,5427,6077,6444,7253,52785,280187436,0,274403611,445,13720,0.39,4096,256
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,354468,391170,436024,1647422,67757848,154519,170518,190071,718143,29536986,8789194688,0,4326181566,885,216309,0.39,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,24,28,30,32,36,10,12,13,13,15,552510,20244974,286275217,31,14313,0.44,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,12222,13892,14804,16612,109916,5327,6055,6453,7241,47914,280449872,0,366879943,333,18343,0.44,4096,256
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,1,1000,0,2294,332686,367172,418142,1637430,3389280,145024,160057,182276,713788,1477454,8224426738,0,4408883076,813,220444,0.44,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,760000,2294,24,28,30,32,40,10,12,13,13,17,558900,54862978,808417071,29,40420,0.48,4096,256
file-dax,file,"/mnt/pmem0.0/sean",ext4,24,20000,2000,1,1000,0,2294,11636,13656,15320,17106,91024,5072,5952,6678,7456,39679,280795550,0,617073873,198,30853,0.52,4096,256
file-block,file,"/home/users/u7599095",ext4,24,20000,2000,1,1000,0,2294,292474,363906,414218,1555432,60945626,127495,158633,180565,678043,26567404,8191431658,0,5110175537,698,255508,0.52,4096,256
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,80000,2294,22,30,32,34,68,9,13,13,14,29,583696,5768714,98247594,28,4912,0.56,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,1,1000,0,2294,2620494,2630282,2634040,2660884,3630908,1142325,1146591,1148230,1159931,1582784,52635301224,0,23075260708,994,1153763,0.56,4096,512
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,1,1000,0,2294,271262,307252,338850,1287926,1878676,118248,133937,147711,561432,818952,6776691200,0,3438278728,859,171913,0.71,4096,512
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,280000,2294,24,28,30,32,34,10,12,13,13,14,555056,20295486,292058874,31,14602,0.74,4096,512
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,1,1000,0,2294,2620314,2627758,2632184,2656114,2884550,1142246,1145491,1147421,1157852,1257432,52574349652,0,23142128025,990,1157106,0.74,4096,512
